Office of Occupational Statistics and Employment Projections,,,,,,,,,
As of 8/29/2024,,,,,,,,,
O*NET-SOC and National Employment Matrix (NEM) equivalents with Occupational Outlook Handbook coverage,,,,,,,,,
Sort Order,O*NET-SOC Code,O*NET-SOC Title,NEM Code,National Employment Matrix Occupational Title,OOH Profile Code,OOH Profile Title,OOH Occupation Group,OOH Occupation Group (brief),OOH Profile Website
469,29-1292.00,Dental Hygienists,29-1292,Dental hygienists,B185,Dental hygienists,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/dental-hygienists.htm
470,29-1299.00,"Healthcare Diagnosing or Treating Practitioners, All Other",29-1299,"Healthcare diagnosing or treating practitioners, all other",—,—,—,—,—
471,29-1299.01,Naturopathic Physicians,29-1299,"Healthcare diagnosing or treating practitioners, all other",—,—,—,—,—
472,29-1299.02,Orthoptists,29-1299,"Healthcare diagnosing or treating practitioners, all other",—,—,—,—,—
473,29-2011.00,Medical and Clinical Laboratory Technologists,29-2010,Clinical laboratory technologists and technicians,B184,Clinical laboratory technologists and technicians,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/clinical-laboratory-technologists-and-technicians.htm
474,29-2011.01,Cytogenetic Technologists,29-2010,Clinical laboratory technologists and technicians,B184,Clinical laboratory technologists and technicians,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/clinical-laboratory-technologists-and-technicians.htm
475,29-2011.02,Cytotechnologists,29-2010,Clinical laboratory technologists and technicians,B184,Clinical laboratory technologists and technicians,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/clinical-laboratory-technologists-and-technicians.htm
476,29-2011.04,Histotechnologists,29-2010,Clinical laboratory technologists and technicians,B184,Clinical laboratory technologists and technicians,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/clinical-laboratory-technologists-and-technicians.htm
477,29-2012.00,Medical and Clinical Laboratory Technicians,29-2010,Clinical laboratory technologists and technicians,B184,Clinical laboratory technologists and technicians,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/clinical-laboratory-technologists-and-technicians.htm
478,29-2012.01,Histology Technicians,29-2010,Clinical laboratory technologists and technicians,B184,Clinical laboratory technologists and technicians,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/clinical-laboratory-technologists-and-technicians.htm
479,29-2031.00,Cardiovascular Technologists and Technicians,29-2031,Cardiovascular technologists and technicians,B187,Diagnostic medical sonographers and cardiovascular technologists and technicians,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/diagnostic-medical-sonographers.htm
480,29-2032.00,Diagnostic Medical Sonographers,29-2032,Diagnostic medical sonographers,B187,Diagnostic medical sonographers and cardiovascular technologists and technicians,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/diagnostic-medical-sonographers.htm
481,29-2033.00,Nuclear Medicine Technologists,29-2033,Nuclear medicine technologists,B188,Nuclear medicine technologists,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/nuclear-medicine-technologists.htm
482,29-2034.00,Radiologic Technologists and Technicians,29-2034,Radiologic technologists and technicians,B189,Radiologic and MRI technologists,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/radiologic-technologists.htm
483,29-2035.00,Magnetic Resonance Imaging Technologists,29-2035,Magnetic resonance imaging technologists,B189,Radiologic and MRI technologists,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/radiologic-technologists.htm
484,29-2036.00,Medical Dosimetrists,29-2036,Medical dosimetrists,B400,Medical dosimetrists,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/medical-dosimetrists.htm
485,29-2042.00,Emergency Medical Technicians,29-2042,Emergency medical technicians,B190,EMTs and paramedics,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/emts-and-paramedics.htm
486,29-2043.00,Paramedics,29-2043,Paramedics,B190,EMTs and paramedics,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/emts-and-paramedics.htm
487,29-2051.00,Dietetic Technicians,29-2051,Dietetic technicians,—,—,—,—,—
488,29-2052.00,Pharmacy Technicians,29-2052,Pharmacy technicians,B191,Pharmacy technicians,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/pharmacy-technicians.htm
489,29-2053.00,Psychiatric Technicians,29-2053,Psychiatric technicians,B203,Psychiatric technicians and aides,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/psychiatric-technicians-and-aides.htm
490,29-2055.00,Surgical Technologists,29-2055,Surgical technologists,B193,Surgical assistants and technologists,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/surgical-technologists.htm
491,29-2056.00,Veterinary Technologists and Technicians,29-2056,Veterinary technologists and technicians,B194,Veterinary technologists and technicians,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/veterinary-technologists-and-technicians.htm
492,29-2057.00,Ophthalmic Medical Technicians,29-2057,Ophthalmic medical technicians,—,—,—,—,—
493,29-2061.00,Licensed Practical and Licensed Vocational Nurses,29-2061,Licensed practical and licensed vocational nurses,B195,Licensed practical and licensed vocational nurses,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/licensed-practical-and-licensed-vocational-nurses.htm
494,29-2072.00,Medical Records Specialists,29-2072,Medical records specialists,B196,Medical records specialists,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/medical-records-and-health-information-technicians.htm
495,29-2081.00,"Opticians, Dispensing",29-2081,"Opticians, dispensing",B197,Opticians,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/opticians-dispensing.htm
496,29-2091.00,Orthotists and Prosthetists,29-2091,Orthotists and prosthetists,B351,Orthotists and prosthetists,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/orthotists-and-prosthetists.htm
497,29-2092.00,Hearing Aid Specialists,29-2092,Hearing aid specialists,—,—,—,—,—
498,29-2099.00,"Health Technologists and Technicians, All Other",29-2099,"Health technologists and technicians, all other",—,—,—,—,—
499,29-2099.01,Neurodiagnostic Technologists,29-2099,"Health technologists and technicians, all other",—,—,—,—,—
500,29-2099.05,Ophthalmic Medical Technologists,29-2099,"Health technologists and technicians, all other",—,—,—,—,—
501,29-2099.08,Patient Representatives,29-2099,"Health technologists and technicians, all other",—,—,—,—,—
502,29-9021.00,Health Information Technologists and Medical Registrars,29-9021,Health information technologists and medical registrars,B398,Health information technologists and medical registrars,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/health-information-technologists-and-medical-registrars.htm
503,29-9091.00,Athletic Trainers,29-9091,Athletic trainers,B128,Athletic trainers,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/athletic-trainers.htm
504,29-9092.00,Genetic Counselors,29-9092,Genetic counselors,B138,Genetic counselors,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/genetic-counselors.htm
505,29-9093.00,Surgical Assistants,29-9093,Surgical assistants,B193,Surgical assistants and technologists,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/surgical-technologists.htm
506,29-9099.00,"Healthcare Practitioners and Technical Workers, All Other",29-9099,"Healthcare practitioners and technical workers, all other",—,—,—,—,—
507,29-9099.01,Midwives,29-9099,"Healthcare practitioners and technical workers, all other",—,—,—,—,—
508,31-1121.00,Home Health Aides,31-1120,Home health and personal care aides,B201,Home health and personal care aides ,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/home-health-aides-and-personal-care-aides.htm
509,31-1122.00,Personal Care Aides,31-1120,Home health and personal care aides,B201,Home health and personal care aides ,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/home-health-aides-and-personal-care-aides.htm
510,31-1131.00,Nursing Assistants,31-1131,Nursing assistants,B150,Nursing assistants and orderlies,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/nursing-assistants.htm
511,31-1132.00,Orderlies,31-1132,Orderlies,B150,Nursing assistants and orderlies,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/nursing-assistants.htm
512,31-1133.00,Psychiatric Aides,31-1133,Psychiatric aides,B203,Psychiatric technicians and aides,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/psychiatric-technicians-and-aides.htm
513,31-2011.00,Occupational Therapy Assistants,31-2011,Occupational therapy assistants,B204,Occupational therapy assistants and aides,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/occupational-therapy-assistants-and-aides.htm
514,31-2012.00,Occupational Therapy Aides,31-2012,Occupational therapy aides,B204,Occupational therapy assistants and aides,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/occupational-therapy-assistants-and-aides.htm
515,31-2021.00,Physical Therapist Assistants,31-2021,Physical therapist assistants,B205,Physical therapist assistants and aides,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/physical-therapist-assistants-and-aides.htm
516,31-2022.00,Physical Therapist Aides,31-2022,Physical therapist aides,B205,Physical therapist assistants and aides,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/physical-therapist-assistants-and-aides.htm
517,31-9011.00,Massage Therapists,31-9011,Massage therapists,B206,Massage therapists,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/massage-therapists.htm
518,31-9091.00,Dental Assistants,31-9091,Dental assistants,B207,Dental assistants,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/dental-assistants.htm
519,31-9092.00,Medical Assistants,31-9092,Medical assistants,B208,Medical assistants,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/medical-assistants.htm
520,31-9093.00,Medical Equipment Preparers,31-9093,Medical equipment preparers,—,—,—,—,—
521,31-9094.00,Medical Transcriptionists,31-9094,Medical transcriptionists,B209,Medical transcriptionists,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/medical-transcriptionists.htm
522,31-9095.00,Pharmacy Aides,31-9095,Pharmacy aides,—,—,—,—,—
523,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,31-9096,Veterinary assistants and laboratory animal caretakers,B210,Veterinary assistants and laboratory animal caretakers,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/veterinary-assistants-and-laboratory-animal-caretakers.htm
524,31-9097.00,Phlebotomists,31-9097,Phlebotomists,B157,Phlebotomists,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/phlebotomists.htm
525,31-9099.00,"Healthcare Support Workers, All Other",31-9099,"Healthcare support workers, all other",—,—,—,—,—
526,31-9099.01,Speech-Language Pathology Assistants,31-9099,"Healthcare support workers, all other",—,—,—,—,—
527,31-9099.02,Endoscopy Technicians,31-9099,"Healthcare support workers, all other",—,—,—,—,—
528,33-1011.00,First-Line Supervisors of Correctional Officers,33-1011,First-line supervisors of correctional officers,—,—,—,—,—
529,33-1012.00,First-Line Supervisors of Police and Detectives,33-1012,First-line supervisors of police and detectives,—,—,—,—,—
530,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,33-1021,First-line supervisors of firefighting and prevention workers,—,—,—,—,—
531,33-1091.00,First-Line Supervisors of Security Workers,33-1091,First-line supervisors of security workers,—,—,—,—,—
532,33-1099.00,"First-Line Supervisors of Protective Service Workers, All Other",33-1099,"First-line supervisors of protective service workers, all other",—,—,—,—,—
533,33-2011.00,Firefighters,33-2011,Firefighters,B211,Firefighters,Protective-Service,Protective Service,https://www.bls.gov/OOH/protective-service/firefighters.htm
534,33-2021.00,Fire Inspectors and Investigators,33-2021,Fire inspectors and investigators,B352,Fire inspectors,Protective-Service,Protective Service,https://www.bls.gov/OOH/protective-service/fire-inspectors-and-investigators.htm
535,33-2022.00,Forest Fire Inspectors and Prevention Specialists,33-2022,Forest fire inspectors and prevention specialists,B352,Fire inspectors,Protective-Service,Protective Service,https://www.bls.gov/OOH/protective-service/fire-inspectors-and-investigators.htm
536,33-3011.00,Bailiffs,33-3011,Bailiffs,B212,Correctional officers and bailiffs,Protective-Service,Protective Service,https://www.bls.gov/OOH/protective-service/correctional-officers.htm
537,33-3012.00,Correctional Officers and Jailers,33-3012,Correctional officers and jailers,B212,Correctional officers and bailiffs,Protective-Service,Protective Service,https://www.bls.gov/OOH/protective-service/correctional-officers.htm
538,33-3021.00,Detectives and Criminal Investigators,33-3021,Detectives and criminal investigators,B213,Police and detectives,Protective-Service,Protective Service,https://www.bls.gov/OOH/protective-service/police-and-detectives.htm
539,33-3021.02,Police Identification and Records Officers,33-3021,Detectives and criminal investigators,B213,Police and detectives,Protective-Service,Protective Service,https://www.bls.gov/OOH/protective-service/police-and-detectives.htm
540,33-3021.06,Intelligence Analysts,33-3021,Detectives and criminal investigators,B213,Police and detectives,Protective-Service,Protective Service,https://www.bls.gov/OOH/protective-service/police-and-detectives.htm
541,33-3031.00,Fish and Game Wardens,33-3031,Fish and game wardens,B213,Police and detectives,Protective-Service,Protective Service,https://www.bls.gov/OOH/protective-service/police-and-detectives.htm
542,33-3041.00,Parking Enforcement Workers,33-3041,Parking enforcement workers,—,—,—,—,—
543,33-3051.00,Police and Sheriff's Patrol Officers,33-3051,Police and sheriff's patrol officers,B213,Police and detectives,Protective-Service,Protective Service,https://www.bls.gov/OOH/protective-service/police-and-detectives.htm
544,33-3051.04,Customs and Border Protection Officers,33-3051,Police and sheriff's patrol officers,B213,Police and detectives,Protective-Service,Protective Service,https://www.bls.gov/OOH/protective-service/police-and-detectives.htm
545,33-3052.00,Transit and Railroad Police,33-3052,Transit and railroad police,B213,Police and detectives,Protective-Service,Protective Service,https://www.bls.gov/OOH/protective-service/police-and-detectives.htm
546,33-9011.00,Animal Control Workers,33-9011,Animal control workers,—,—,—,—,—
547,33-9021.00,Private Detectives and Investigators,33-9021,Private detectives and investigators,B215,Private detectives and investigators,Protective-Service,Protective Service,https://www.bls.gov/OOH/protective-service/private-detectives-and-investigators.htm
548,33-9031.00,Gambling Surveillance Officers and Gambling Investigators,33-9031,Gambling surveillance officers and gambling investigators,B216,Security guards and gambling surveillance officers,Protective-Service,Protective Service,https://www.bls.gov/OOH/protective-service/security-guards.htm
549,33-9032.00,Security Guards,33-9032,Security guards,B216,Security guards and gambling surveillance officers,Protective-Service,Protective Service,https://www.bls.gov/OOH/protective-service/security-guards.htm
550,33-9091.00,Crossing Guards and Flaggers,33-9091,Crossing guards and flaggers,—,—,—,—,—
551,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33-9092,"Lifeguards, ski patrol, and other recreational protective service workers",—,—,—,—,—
552,33-9093.00,Transportation Security Screeners,33-9093,Transportation security screeners,—,—,—,—,—
553,33-9094.00,School Bus Monitors,33-9094,School bus monitors,—,—,—,—,—
554,33-9099.00,"Protective Service Workers, All Other",33-9099,"Protective service workers, all other",—,—,—,—,—
555,33-9099.02,Retail Loss Prevention Specialists,33-9099,"Protective service workers, all other",—,—,—,—,—
556,35-1011.00,Chefs and Head Cooks,35-1011,Chefs and head cooks,B217,Chefs and head cooks,Food-Preparation-and-Serving,Food Preparation and Serving,https://www.bls.gov/OOH/food-preparation-and-serving/chefs-and-head-cooks.htm
557,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,35-1012,First-line supervisors of food preparation and serving workers,—,—,—,—,—
558,35-2011.00,"Cooks, Fast Food",35-2011,"Cooks, fast food",B218,Cooks,Food-Preparation-and-Serving,Food Preparation and Serving,https://www.bls.gov/OOH/food-preparation-and-serving/cooks.htm
559,35-2012.00,"Cooks, Institution and Cafeteria",35-2012,"Cooks, institution and cafeteria",B218,Cooks,Food-Preparation-and-Serving,Food Preparation and Serving,https://www.bls.gov/OOH/food-preparation-and-serving/cooks.htm
560,35-2013.00,"Cooks, Private Household",35-2013,"Cooks, private household",B218,Cooks,Food-Preparation-and-Serving,Food Preparation and Serving,https://www.bls.gov/OOH/food-preparation-and-serving/cooks.htm
561,35-2014.00,"Cooks, Restaurant",35-2014,"Cooks, restaurant",B218,Cooks,Food-Preparation-and-Serving,Food Preparation and Serving,https://www.bls.gov/OOH/food-preparation-and-serving/cooks.htm
562,35-2015.00,"Cooks, Short Order",35-2015,"Cooks, short order",B218,Cooks,Food-Preparation-and-Serving,Food Preparation and Serving,https://www.bls.gov/OOH/food-preparation-and-serving/cooks.htm
563,35-2019.00,"Cooks, All Other",35-2019,"Cooks, all other",B218,Cooks,Food-Preparation-and-Serving,Food Preparation and Serving,https://www.bls.gov/OOH/food-preparation-and-serving/cooks.htm
564,35-2021.00,Food Preparation Workers,35-2021,Food preparation workers,B219,Food preparation workers,Food-Preparation-and-Serving,Food Preparation and Serving,https://www.bls.gov/OOH/food-preparation-and-serving/food-preparation-workers.htm
565,35-3011.00,Bartenders,35-3011,Bartenders,B220,Bartenders,Food-Preparation-and-Serving,Food Preparation and Serving,https://www.bls.gov/OOH/food-preparation-and-serving/bartenders.htm
566,35-3023.00,Fast Food and Counter Workers,35-3023,Fast food and counter workers,B221,Food and beverage serving and related workers,Food-Preparation-and-Serving,Food Preparation and Serving,https://www.bls.gov/OOH/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm
567,35-3023.01,Baristas,35-3023,Fast food and counter workers,B221,Food and beverage serving and related workers,Food-Preparation-and-Serving,Food Preparation and Serving,https://www.bls.gov/OOH/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm
568,35-3031.00,Waiters and Waitresses,35-3031,Waiters and waitresses,B222,Waiters and waitresses,Food-Preparation-and-Serving,Food Preparation and Serving,https://www.bls.gov/OOH/food-preparation-and-serving/waiters-and-waitresses.htm
569,35-3041.00,"Food Servers, Nonrestaurant",35-3041,"Food servers, nonrestaurant",B221,Food and beverage serving and related workers,Food-Preparation-and-Serving,Food Preparation and Serving,https://www.bls.gov/OOH/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm
570,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,35-9011,Dining room and cafeteria attendants and bartender helpers,B221,Food and beverage serving and related workers,Food-Preparation-and-Serving,Food Preparation and Serving,https://www.bls.gov/OOH/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm
571,35-9021.00,Dishwashers,35-9021,Dishwashers,—,—,—,—,—
572,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35-9031,"Hosts and hostesses, restaurant, lounge, and coffee shop",B221,Food and beverage serving and related workers,Food-Preparation-and-Serving,Food Preparation and Serving,https://www.bls.gov/OOH/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm
573,35-9099.00,"Food Preparation and Serving Related Workers, All Other",35-9099,"Food preparation and serving related workers, all other",—,—,—,—,—
574,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,37-1011,First-line supervisors of housekeeping and janitorial workers,—,—,—,—,—
575,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",37-1012,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",—,—,—,—,—
576,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37-2011,"Janitors and cleaners, except maids and housekeeping cleaners",B223,Janitors and building cleaners,Building-and-Grounds-Cleaning,Cleaning,https://www.bls.gov/OOH/building-and-grounds-cleaning/janitors-and-building-cleaners.htm
577,37-2012.00,Maids and Housekeeping Cleaners,37-2012,Maids and housekeeping cleaners,—,—,—,—,—
578,37-2019.00,"Building Cleaning Workers, All Other",37-2019,"Building cleaning workers, all other",—,—,—,—,—
579,37-2021.00,Pest Control Workers,37-2021,Pest control workers,B225,Pest control workers,Building-and-Grounds-Cleaning,Cleaning,https://www.bls.gov/OOH/building-and-grounds-cleaning/pest-control-workers.htm
580,37-3011.00,Landscaping and Groundskeeping Workers,37-3011,Landscaping and groundskeeping workers,B226,Grounds maintenance workers,Building-and-Grounds-Cleaning,Cleaning,https://www.bls.gov/OOH/building-and-grounds-cleaning/grounds-maintenance-workers.htm
581,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",37-3012,"Pesticide handlers, sprayers, and applicators, vegetation",B226,Grounds maintenance workers,Building-and-Grounds-Cleaning,Cleaning,https://www.bls.gov/OOH/building-and-grounds-cleaning/grounds-maintenance-workers.htm
582,37-3013.00,Tree Trimmers and Pruners,37-3013,Tree trimmers and pruners,B226,Grounds maintenance workers,Building-and-Grounds-Cleaning,Cleaning,https://www.bls.gov/OOH/building-and-grounds-cleaning/grounds-maintenance-workers.htm
583,37-3019.00,"Grounds Maintenance Workers, All Other",37-3019,"Grounds maintenance workers, all other",B226,Grounds maintenance workers,Building-and-Grounds-Cleaning,Cleaning,https://www.bls.gov/OOH/building-and-grounds-cleaning/grounds-maintenance-workers.htm
584,39-1013.00,First-Line Supervisors of Gambling Services Workers,39-1013,First-line supervisors of gambling services workers,B228,Gambling services workers,Personal-Care-and-Service,Personal Care and Service,https://www.bls.gov/OOH/personal-care-and-service/gaming-services-occupations.htm
585,39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",39-1014,"First-line supervisors of entertainment and recreation workers, except gambling services",—,—,—,—,—
586,39-1022.00,First-Line Supervisors of Personal Service Workers,39-1022,First-line supervisors of personal service workers,—,—,—,—,—
587,39-2011.00,Animal Trainers,39-2011,Animal trainers,B227,Animal care and service workers,Personal-Care-and-Service,Personal Care and Service,https://www.bls.gov/OOH/personal-care-and-service/animal-care-and-service-workers.htm
588,39-2021.00,Animal Caretakers,39-2021,Animal caretakers,B227,Animal care and service workers,Personal-Care-and-Service,Personal Care and Service,https://www.bls.gov/OOH/personal-care-and-service/animal-care-and-service-workers.htm
589,39-3011.00,Gambling Dealers,39-3011,Gambling dealers,B228,Gambling services workers,Personal-Care-and-Service,Personal Care and Service,https://www.bls.gov/OOH/personal-care-and-service/gaming-services-occupations.htm
590,39-3012.00,Gambling and Sports Book Writers and Runners,39-3012,Gambling and sports book writers and runners,B228,Gambling services workers,Personal-Care-and-Service,Personal Care and Service,https://www.bls.gov/OOH/personal-care-and-service/gaming-services-occupations.htm
591,39-3019.00,"Gambling Service Workers, All Other",39-3019,"Gambling service workers, all other",B228,Gambling services workers,Personal-Care-and-Service,Personal Care and Service,https://www.bls.gov/OOH/personal-care-and-service/gaming-services-occupations.htm
592,39-3021.00,Motion Picture Projectionists,39-3021,Motion picture projectionists,—,—,—,—,—
593,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",39-3031,"Ushers, lobby attendants, and ticket takers",—,—,—,—,—
594,39-3091.00,Amusement and Recreation Attendants,39-3091,Amusement and recreation attendants,—,—,—,—,—
595,39-3092.00,Costume Attendants,39-3092,Costume attendants,—,—,—,—,—
596,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",39-3093,"Locker room, coatroom, and dressing room attendants",—,—,—,—,—
597,39-3099.00,"Entertainment Attendants and Related Workers, All Other",39-3099,"Entertainment attendants and related workers, all other",—,—,—,—,—
598,39-4011.00,Embalmers,39-4011,Embalmers,—,—,—,—,—
599,39-4012.00,Crematory Operators,39-4012,Crematory operators,—,—,—,—,—
600,39-4021.00,Funeral Attendants,39-4021,Funeral attendants,—,—,—,—,—
601,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",39-4031,"Morticians, undertakers, and funeral arrangers",B001,Funeral service workers,Personal-Care-and-Service,Personal Care and Service,https://www.bls.gov/OOH/personal-care-and-service/funeral-service-occupations.htm
602,39-5011.00,Barbers,39-5011,Barbers,B229,"Barbers, hairstylists, and cosmetologists",Personal-Care-and-Service,Personal Care and Service,https://www.bls.gov/OOH/personal-care-and-service/barbers-hairstylists-and-cosmetologists.htm
603,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",39-5012,"Hairdressers, hairstylists, and cosmetologists",B229,"Barbers, hairstylists, and cosmetologists",Personal-Care-and-Service,Personal Care and Service,https://www.bls.gov/OOH/personal-care-and-service/barbers-hairstylists-and-cosmetologists.htm
604,39-5091.00,"Makeup Artists, Theatrical and Performance",39-5091,"Makeup artists, theatrical and performance",—,—,—,—,—
605,39-5092.00,Manicurists and Pedicurists,39-5092,Manicurists and pedicurists,B230,Manicurists and pedicurists,Personal-Care-and-Service,Personal Care and Service,https://www.bls.gov/OOH/personal-care-and-service/manicurists-and-pedicurists.htm
606,39-5093.00,Shampooers,39-5093,Shampooers,—,—,—,—,—
607,39-5094.00,Skincare Specialists,39-5094,Skincare specialists,B231,Skincare specialists,Personal-Care-and-Service,Personal Care and Service,https://www.bls.gov/OOH/personal-care-and-service/skincare-specialists.htm
608,39-6011.00,Baggage Porters and Bellhops,39-6011,Baggage porters and bellhops,—,—,—,—,—
609,39-6012.00,Concierges,39-6012,Concierges,—,—,—,—,—
610,39-7011.00,Tour Guides and Escorts,39-7010,Tour and travel guides,—,—,—,—,—
611,39-7012.00,Travel Guides,39-7010,Tour and travel guides,—,—,—,—,—
612,39-9011.00,Childcare Workers,39-9011,Childcare workers,B233,Childcare workers,Personal-Care-and-Service,Personal Care and Service,https://www.bls.gov/OOH/personal-care-and-service/childcare-workers.htm
613,39-9011.01,Nannies,39-9011,Childcare workers,B233,Childcare workers,Personal-Care-and-Service,Personal Care and Service,https://www.bls.gov/OOH/personal-care-and-service/childcare-workers.htm
614,39-9031.00,Exercise Trainers and Group Fitness Instructors,39-9031,Exercise trainers and group fitness instructors,B235,Fitness trainers and instructors,Personal-Care-and-Service,Personal Care and Service,https://www.bls.gov/OOH/personal-care-and-service/fitness-trainers-and-instructors.htm
615,39-9032.00,Recreation Workers,39-9032,Recreation workers,B236,Recreation workers,Personal-Care-and-Service,Personal Care and Service,https://www.bls.gov/OOH/personal-care-and-service/recreation-workers.htm
616,39-9041.00,Residential Advisors,39-9041,Residential advisors,—,—,—,—,—
617,39-9099.00,"Personal Care and Service Workers, All Other",39-9099,"Personal care and service workers, all other",—,—,—,—,—
618,41-1011.00,First-Line Supervisors of Retail Sales Workers,41-1011,First-line supervisors of retail sales workers,—,—,—,—,—
619,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,41-1012,First-line supervisors of non-retail sales workers,—,—,—,—,—
620,41-2011.00,Cashiers,41-2011,Cashiers,B237,Cashiers,Sales,Sales,https://www.bls.gov/OOH/sales/cashiers.htm
621,41-2012.00,Gambling Change Persons and Booth Cashiers,41-2012,Gambling change persons and booth cashiers,—,—,—,—,—
622,41-2021.00,Counter and Rental Clerks,41-2021,Counter and rental clerks,—,—,—,—,—
623,41-2022.00,Parts Salespersons,41-2022,Parts salespersons,B238,Retail sales workers,Sales,Sales,https://www.bls.gov/OOH/sales/retail-sales-workers.htm
624,41-2031.00,Retail Salespersons,41-2031,Retail salespersons,B238,Retail sales workers,Sales,Sales,https://www.bls.gov/OOH/sales/retail-sales-workers.htm
625,41-3011.00,Advertising Sales Agents,41-3011,Advertising sales agents,B239,Advertising sales agents,Sales,Sales,https://www.bls.gov/OOH/sales/advertising-sales-agents.htm
626,41-3021.00,Insurance Sales Agents,41-3021,Insurance sales agents,B240,Insurance sales agents,Sales,Sales,https://www.bls.gov/OOH/sales/insurance-sales-agents.htm
627,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",41-3031,"Securities, commodities, and financial services sales agents",B241,"Securities, commodities, and financial services sales agents",Sales,Sales,https://www.bls.gov/OOH/sales/securities-commodities-and-financial-services-sales-agents.htm
628,41-3041.00,Travel Agents,41-3041,Travel agents,B012,Travel agents,Sales,Sales,https://www.bls.gov/OOH/sales/travel-agents.htm
629,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",41-3091,"Sales representatives of services, except advertising, insurance, financial services, and travel",—,—,—,—,—
630,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4011,"Sales representatives, wholesale and manufacturing, technical and scientific products",B242,Wholesale and manufacturing sales representatives,Sales,Sales,https://www.bls.gov/OOH/sales/wholesale-and-manufacturing-sales-representatives.htm
